ID;Nom;Statut;Etape;Pipeline;Montant HT;Probabilite %;Date cloture;Client;Email client;Responsable;Tags;Source;Date creation;Description
6007942;93-COUGNAUD-SAINT OUEN-PALARIC P.2201251-202203;won;Devis froid;Commercial;1331.35;0;;;;;;Client existant;2022-04-05;
6008113;13-Algeco-Marseille-SAV Prefecture Bouches du Rhone-202204;closed;SAV;Commercial;0.00;100;;;;;;Client existant;2022-04-05;
6012841;75-GROUPE JARDIN-PARIS-HABILLAGE ECHAFAUDAGE-202204;closed;Budget;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-04-05;
6013573;75-Sice Previt-Paris-YSL Place St Sulpice-202204;closed;Qualifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-04-05;
6014759;91-ALGECO-ORSAY-PARIS SACLAY-202204;won;Devis froid;Commercial;9920.00;30;;;;;;Client existant;2022-04-06;
6019595;69-ALGECO-TASSIN LA DEMI LUNE-STADE SAUZE-202204;lost;Devis froid;Commercial;1340.00;30;;;;;;Client existant;2022-04-06;
6019766;75-Ville Paris-Totem service des sports-202203;closed;Qualifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-04-06;
6025727;78-SUEZ-LE PECQ-HABILLAGE MODULE-202204;closed;Identifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-04-07;
6025959;67-Algeco-Strasbourg-Déco intérieur siège-202203;closed;Qualifié;Commercial;0.00;0;;;;;;Client existant;2022-04-07;
6031763;76-Portakabin-Normandie-Parfum Hermès-202204;lost;Budget;Commercial;32200.00;0;;;;;;Client existant;2022-04-08;
6038076;75-MAXTP-PARIS-BAIE VITREE RUE KLEBER-202204;closed;Identifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-04-11;
6038510;75-AS ONE-PARIS-TOTEM-202204;lost;Devis froid;Commercial;4874.00;30;;;;;;Appel entrant / Emailing / Marketing;2022-04-11;
6040504;50-LE COTENTIN-CHERBOURG EN COTENTIN-STATION INTERMODALE-202204;closed;Identifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-04-11;
6040615;75-AMG-Paris-Saint Laurent Place St Sulpice-202204;lost;Devis froid;Commercial;117740.62;30;;;;;;Appel entrant / Emailing / Marketing;2022-04-11;
6041024;93-TBF-Romainville-Altize-202204;closed;Budget;Commercial;11580.00;0;;;;;;Aucune;2022-04-11;
6045899;33-ALGECO-PIAN SUR GARONNE-MODULIZE-202204;lost;Qualifié;Commercial;8393.68;0;;;;;;Client existant;2022-04-12;
